codigo;nombre;presentacion;Cantidad;Precio de Venta
BAV 031;CERVEZA;COLA Y POLA 1.5L * 6 PET;0;26000
BAV 032;AGUA;AGUA ZALVA 600*12;0;0
BAV 033;ENERGIZANTE;MIKESS 355ML COCTEL;0;5000
BIG 001;SURTIDO;BIG 400*12 SURTIDA;0;14200
BIG 002;GASEOSA;BIG KOLA 400*12;0;14200
BIG 003;GASEOSA;BIG PIÑA 400*12;0;14200
BIG 004;GASEOSA;BIG LIMON 400*12;0;14200
BIG 005;GASEOSA;BIG KOLA ROJA 400*12;0;14200
BIG 006;GASEOSA;BIG NARANJA 400*12;0;14200
BIG 007;GASEOSA;BIG FESTIVAL 400*12;0;14200
BIG 008;GASEOSA;BIG MANZANA 400*12;0;14200
BIG 009;GASEOSA;BIG KOLA MINI 250ML*12;0;9200
BIG 010;SURTIDO;BIG 1.75 LTS *8 SURTIDA;0;23600
BIG 011;GASEOSA;BIG KOLA 1.75L*8;0;23600
BIG 012;GASEOSA;BIG PIÑA 1.75LT*8;0;23600
BIG 013;GASEOSA;BIG MANZANA 1.75 LT*8;0;23600
BIG 014;ENERGIZANTE;SPORADE 500*12 TROPICAL;0;24000
BIG 015;ENERGIZANTE;SPORADE 500*12 MANDARINA;0;24000
BIG 016;SURTIDO;CIFRUT 250*15 SURTIDO;0;11200
BIG 017;JUGO;CIFRUT 250*15 NARANJA;0;11200
BIG 018;JUGO;CIFRUT 250*15 MORA;0;11200
BIG 019;JUGO;CIFRUT 250*15 GRANADILLA;0;11200
BIG 020;SURTIDO;CIFRUT 400*12 SURTIDO;0;13000
BIG 021;JUGO;CIFRUT 400*12 NARANJA;0;13000
BIG 022;JUGO;CIFRUT 400*12 MORA;0;13000
BIG 023;JUGO;CIFRUT 400*12 GRANADILLA;0;13000
BIG 024;SURTIDO;CIFRUT 1,5L* 8 SURTIDO;0;23600
BIG 025;JUGO;CIFRUT 1,5L* 8 NARANJA;0;23600
BIG 026;JUGO;CIFRUT 1,5L* 8 MORA;0;23600
BIG 027;JUGO;CIFRUT 1,5L* 8 GRANADILLA;0;23600
CC 001;GASEOSA;COCA COLA 3L * 6;0;55000
CC 002;GASEOSA;COCA COLA  2L * 9;0;45000
CC 003;GASEOSA;COCA COLA 1.5L * 12;0;65000
CC 004;SURTIDO;CC 350*30 - VIDRIO SURTIDA;0;62500
CC 005;GASEOSA;COCA COLA 350*30 - VIDRIO;0;62500
CC 006;GASEOSA;QUATRO 350*30 - VIDRIO;0;62500
CC 007;GASEOSA;SPRITE 350*30 - VIDRIO;0;62500
CC 008;SURTIDO;CC MINI 237*30 VIDRIO SURTIDA;0;36000
CC 009;GASEOSA;COCA COLA MINI 237*30 VIDRIO;0;36000
CC 010;GASEOSA;QUATRO MINI 237*30 VIDRIO;0;36000
CC 011;GASEOSA;SPRITE MINI 237*30 VIDRIO;0;36000
CC 012;GASEOSA;CCOLA  FLEXI ZERO 500*12;0;27000
CC 013;GASEOSA;CCOLA FLEXI 500*12;0;30000
CC 014;GASEOSA;CCOLA MINI PET 200*12;0;19200
CC 015;GASEOSA;CCOLA MINI PET ZERO 200*12;0;0
CC 016;SURTIDO;QUATRO/SPRITE 1.5LT SURTIDA;0;45000
CC 017;GASEOSA;QUATRO 1.5*12;0;45000
CC 018;GASEOSA;SPRITE 1.5*12;0;45000
CC 019;SURTIDO;QUATRO/SPRITE 400ML *12 SURTIDA;0;27000
CC 020;GASEOSA;QUATRO 400ML *12;0;27000
CC 021;GASEOSA;SPRITE 400ML *12;0;27000
CC 022;GASEOSA;QUATRO/SPRITE 3 LITROS;0;0
CC 023;SURTIDO;JUGO DEL VALLE 1.5*12 SURTIDO;0;45000
CC 024;JUGO;JUGO DEL VALLE 1.5*12 NARANJA;0;45000
CC 025;JUGO;JUGO DEL VALLE 1.5*12 MANDARINA;0;45000
CC 026;SURTIDO;JUGO DEL VALLE 40OML*12 SURTIDO;0;20000
CC 027;JUGO;JUGO DEL VALLE 40OML*12 NARANJA;0;20000
CC 028;JUGO;JUGO DEL VALLE 40OML*12 MANDARINA;0;20000
CC 029;AGUA;AGUA MANANTIAL 600ML*24;0;27600
CC 030;AGUA;AGUA BRISA GAS SAB 280*24;0;28000
CC 031;GASEOSA;CCOLA LITRON *12;0;35000
CC 032;AGUA;AGUA SAB BRISA CON GAS MANZANA 1.5L;0;20000
CC 033;GASEOSA;KOLA ROMAN 400ML*12;0;26000
DNPHF;AGUA;CRISTAL BOLSA;0;3750
GJIO;LICORES;BUCA;0;163000
GLAC  001;AGUA;AGUA GLACIAL 620*18;0;18000
GLAC 002;AGUA;AGUA GLACIAL GAS 620*18;0;18000
GLAC 003;GASEOSA;GLACIAL 400*18;0;23300
GLAC 004;GASEOSA;GLACIAL LITRO;0;23000
GLAC 005;AGUA;SODA GLACIAL;0;23300
GLAC 006;JUGO;FRUTTSI CAJITA *24;0;20000
GLAC 007;JUGO;FRUTTSI 400 *15;0;23300
GLAC 008;JUGO;FRUTTSI LITRO *12;0;30000
